Titulo,URL,Fecha
Forces of Production: A Social History of Industrial Automation,/-/es/David-F-Noble/dp/1412818281/ref=sr_1_34?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-34,14 marzo 2011
AWS Automation Cookbook: Continuous Integration and Continuous Deployment using AWS services,/-/es/Nikit-Swaraj-ebook/dp/B075V96BPJ/ref=sr_1_35?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-35,
Scenic Automation Handbook,/-/es/Gareth-Conner/dp/1138850276/ref=sr_1_36?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-36,19 abril 2018
Instrument and Automation Engineers' Handbook: Measurement and Safety: Volume I (Volume 1),/-/es/B%C3%A9la-G-Lipt%C3%A1k/dp/1498727646/ref=sr_1_37?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-37,6 octubre 2016
"Home Automation - A Smart Home Guide: The Beginner’s Manual Including Google Home, Echo Dot and Amazon Alexa. Easy Instructions, Directions and Commands ... and Home Automation Guide Series Book 1)",/-/es/Frederic-Marsh-ebook/dp/B01MY2B5R2/ref=sr_1_38?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-38,
NOVA Volume 15,/-/es/dp/B01BN09A10/ref=sr_1_39?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-39,2016
Automating Junos Administration: Doing More with Less,/-/es/Jonathan-Looney/dp/1491928883/ref=sr_1_40?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-40,7 mayo 2016
The Simple Implementation Guide to Robotic Process Automation (Rpa): How to Best Implement Rpa in an Organization,/-/es/Kelly-Wibbenmeyer-ebook/dp/B07C79S5J8/ref=sr_1_41?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-41,
Becoming Strategic with Robotic Process Automation,/-/es/Leslie-P-Willcocks/dp/0995682054/ref=sr_1_42?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-42,7 octubre 2019
Experiences of Test Automation: Case Studies of Software Test Automation,/-/es/Dorothy-Graham/dp/0321754069/ref=sr_1_43?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-43,19 enero 2012
"Mastering Python Networking: Your one-stop solution to using Python for network automation, DevOps, and Test-Driven Development, 2nd Edition",/-/es/Eric-Chou/dp/1789135990/ref=sr_1_44?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547050&sr=8-44,29 agosto 2018
